,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
0,A. Belotti,4.0,27.0,181.0,72.0,5.25,32.0,740918,0.39833640000000003,0.0793328,0.0176315,0.3611412,0.045999500000000006,0.12417530000000002,2.1935994,0.3759966,1.3338454,0.7957213000000001,0.0505761,0.0,0.0,101.5333
1,A. Correa,4.0,25.0,171.0,70.0,7.0,32.0,652886,0.3191076,0.0408478,0.0388072,0.5778485999999999,0.0532847,0.4368785,1.9331652000000001,0.961632,0.7512162,0.7725114,0.1278646,0.0053238,0.0053238,87.6556
2,A. Griezmann,4.0,29.0,176.0,73.0,6.666666666666668,96.0,30243196,0.4670568,0.0939571,0.0404719,0.5739174,0.015084100000000001,0.1923573,1.1160032,0.2717064,0.49030330000000005,0.2828619,0.0792032,0.0,0.0037827,123.8222
3,A. Kramaric,4.0,29.0,177.0,73.0,6.777777777777778,30.5,351898,0.5273478,0.0944941,0.031504000000000004,0.7173684,0.0176059,0.12912550000000003,0.7519666,0.3657906,0.42847250000000003,0.1584531,0.0469335,0.0,0.0,79.5667
4,A. Lacazette,4.0,29.0,175.0,73.0,5.75,48.0,3141100,0.44842139999999997,0.09277569999999999,0.0371067,0.5093928,0.0268992,0.1721362,2.0495442,0.5137398,0.769149,0.7906777,0.0591689,0.0,0.0053705,86.8222
5,A. Martial,4.0,25.0,181.0,76.0,6.615384615384616,17.5,5748682,0.4303908,0.087352,0.035835799999999994,0.6195798,0.005837500000000001,0.0584217,1.8546142,0.8749944,0.7012005000000001,0.44407030000000003,0.029234200000000002,0.0,0.0,79.9222
6,A. Milik,4.0,26.0,186.0,80.0,5.8181818181818175,28.0,1042684,0.6775272,0.11584879999999999,0.014857,0.42029820000000007,0.038761000000000004,0.062017600000000006,0.9224628,0.131733,0.5425139,0.6665491,0.10848410000000001,0.0,0.0,60.2556
7,A. Mitrovic,4.0,26.0,187.0,90.0,4.0,32.0,100461,0.5346432000000001,0.0917017,0.0099703,0.3578526,0.0623912,0.0780357,2.1194102000000004,0.2736342,0.7385605,0.7385605,0.09363350000000001,0.0,0.0,89.7889
8,A. Morata,4.0,28.0,190.0,84.0,6.0,20.0,11106560,0.6149304,0.0877816,0.017130299999999998,0.3888486,0.050295900000000004,0.139633,1.934632,0.4430916,0.9719671000000001,0.9887324000000001,0.15084099999999998,0.0111613,0.0,83.6
9,C. Immobile,4.0,30.0,185.0,78.0,6.7,40.0,1143091,0.6652044,0.1407119,0.0447679,0.5909274,0.0041563,0.037546800000000005,0.9068684000000001,0.3680586,0.5757175999999999,0.3837806,0.07509360000000001,0.0,0.0041563,111.9444
10,C. Kouam̩,4.0,23.0,185.0,70.0,3.375,17.5,59800,0.2059344,0.049887299999999996,0.0181506,0.3448116,0.041422900000000006,0.1597607,1.6822266000000001,0.2777544,0.7572872,0.44374340000000007,0.0473538,0.0,0.0,78.9333
11,C. Ronaldo,4.0,35.0,187.0,83.0,6.1818181818181825,60.0,222106900,0.8882622,0.1553004,0.032363199999999995,0.5466257999999999,0.0295611,0.11394800000000001,1.2454676,0.5944428,0.6331119,0.3123296,0.037967100000000004,0.0,0.004203000000000001,110.6444
12,C. Stengs,4.0,22.0,187.0,68.0,4.375,18.0,61673,0.2621052,0.042315599999999995,0.0366771,0.679077,0.0220891,0.1545303,0.4379942,0.690984,0.24284000000000003,0.32381780000000004,0.0367996,0.0,0.0,63.4556
13,C. Wilson,4.0,28.0,180.0,66.0,5.111111111111111,24.0,292000,0.312228,0.0728172,0.0242724,0.37282139999999997,0.051837,0.0690693,1.3896000000000002,0.2703078,0.5412063,0.7427168000000001,0.0690693,0.0,0.0,81.1111
14,D. Berardi,4.0,26.0,183.0,72.0,4.142857142857143,19.0,123675,0.4145904,0.05353889999999999,0.024540899999999997,0.7019838,0.017465800000000004,0.3841542,1.5972294,0.522963,1.1000652,0.8497999,0.1105856,0.0,0.017465800000000004,80.2333
15,D. Calvert-Lewin,4.0,23.0,176.0,71.0,7.1,24.0,194987,0.3801546,0.0744103,0.024003899999999998,0.278775,0.0438513,0.1502806,3.0899686,0.2990358,0.6888250000000001,0.8641368,0.0939137,0.0,0.0,74.5778
16,D. Jota,4.0,24.0,178.0,68.0,5.6,28.0,190719,0.4174254,0.07870629999999999,0.023789099999999997,0.456057,0.004763400000000001,0.2005298,2.4944092,0.9160073999999999,1.0457531,0.7592486,0.12412859999999999,0.004763400000000001,0.0,97.8
17,D. Malen,4.0,21.0,179.0,0.0,2.6923076923076925,25.0,118651,0.4547718,0.13177979999999997,0.019278299999999998,0.40049100000000004,0.008406000000000002,0.05870190000000001,0.5891518,0.4072572,0.3773827,0.20963630000000003,0.09223250000000001,0.0,0.0,55.6889
18,D. McNeil,4.0,21.0,0.0,0.0,3.0,18.0,13330,0.1253826,0.0174704,0.0349229,0.5163479999999999,0.054685700000000004,0.3280675,1.8831395999999998,0.7081452,0.33717400000000003,0.3280675,0.054685700000000004,0.0,0.0,51.2444
19,D. Mertens,4.0,33.0,169.0,61.0,6.583333333333332,20.0,1675015,0.5351724,0.0952638,0.0467369,0.8236620000000001,0.0,0.1594338,0.891467,0.34541639999999996,0.5017448,0.5486316000000001,0.060943500000000005,0.0,0.0,99.5889
20,D. Neres,4.0,23.0,176.0,66.0,4.777777777777779,36.0,2118462,0.3329424,0.0700785,0.0547382,0.624267,0.005697400000000001,0.2056668,1.8368582,1.0034387999999999,0.6684171000000001,0.36561430000000006,0.034277800000000004,0.0,0.0,81.7444
21,D. Zapata,4.0,29.0,186.0,80.0,4.909090909090909,36.0,472073,0.627102,0.11473899999999998,0.047238100000000005,0.6888672,0.10563540000000002,0.0645394,1.8580496000000002,0.43708140000000006,1.1093118,0.8745042000000001,0.05281770000000001,0.0,0.0,79.5667
22,E. Cavani,4.0,33.0,184.0,71.0,4.833333333333333,20.0,7174135,0.5391792,0.15540779999999998,0.0333119,0.342279,0.023163200000000002,0.1332351,0.5410176,0.168777,0.2664702,0.301215,0.0521172,0.0,0.0,80.6222
